"Indicator Name","What Is This Indicator","Location Type",Location,"Indicator Rate Value","Indicator Rate Value Units","Rate Lower Confidence Interval","Rate Upper Confidence Interval","Indicator Count Value","Indicator Count Value Units","Count Lower Confidence Interval","Count Upper Confidence Interval","Indicator Value Unstable","Period of Measure","Data Source","Technical Note","Breakout Title","Breakout Category","Breakout Subcategory","Breakout Rate Value","Breakout Rate Value Units","Breakout Rate Lower Confidence Interval","Breakout Rate Upper Confidence Interval","Breakout Count Value","Breakout Count Value Units","Breakout Count Lower Confidence Interval","Breakout Count Upper Confidence Interval","Breakout Unstable","Breakout Footer"
"Age-Adjusted ER Rate due to Heat-Related Illness","
This indicator shows the rate of emergency visits per 100,000 population due to explicit clinical effects on the body caused by hot weather and excessive heat exposure.
",County,Miami-Dade,11.3,"ER Visits/ 100,000 population",10.6,12.0,,,,,No,2017-2019,"Florida Agency for Health Care Administration","Rates were calculated using Claritas population estimates. Rates based on fewer than 12 emergency room visits or a population of less than 300 are not reported to ensure patient confidentiality.","ER Rate due to Heat-Related Illness by Age",Age,18-24,14.8,"ER Visits/ 100,000 population",12.0,17.6,,,,,No,"Please note that crude age group rates are being compared to the overall age-adjusted value."
"Age-Adjusted ER Rate due to Heat-Related Illness","
This indicator shows the rate of emergency visits per 100,000 population due to explicit clinical effects on the body caused by hot weather and excessive heat exposure.
",County,Miami-Dade,11.3,"ER Visits/ 100,000 population",10.6,12.0,,,,,No,2017-2019,"Florida Agency for Health Care Administration","Rates were calculated using Claritas population estimates. Rates based on fewer than 12 emergency room visits or a population of less than 300 are not reported to ensure patient confidentiality.","ER Rate due to Heat-Related Illness by Age",Age,25-34,14.5,"ER Visits/ 100,000 population",12.3,16.7,,,,,No,"Please note that crude age group rates are being compared to the overall age-adjusted value."
"Age-Adjusted ER Rate due to Heat-Related Illness","
This indicator shows the rate of emergency visits per 100,000 population due to explicit clinical effects on the body caused by hot weather and excessive heat exposure.
",County,Miami-Dade,11.3,"ER Visits/ 100,000 population",10.6,12.0,,,,,No,2017-2019,"Florida Agency for Health Care Administration","Rates were calculated using Claritas population estimates. Rates based on fewer than 12 emergency room visits or a population of less than 300 are not reported to ensure patient confidentiality.","ER Rate due to Heat-Related Illness by Age",Age,35-44,10.6,"ER Visits/ 100,000 population",8.7,12.5,,,,,No,"Please note that crude age group rates are being compared to the overall age-adjusted value."
"Age-Adjusted ER Rate due to Heat-Related Illness","
This indicator shows the rate of emergency visits per 100,000 population due to explicit clinical effects on the body caused by hot weather and excessive heat exposure.
",County,Miami-Dade,11.3,"ER Visits/ 100,000 population",10.6,12.0,,,,,No,2017-2019,"Florida Agency for Health Care Administration","Rates were calculated using Claritas population estimates. Rates based on fewer than 12 emergency room visits or a population of less than 300 are not reported to ensure patient confidentiality.","ER Rate due to Heat-Related Illness by Age",Age,45-64,10.2,"ER Visits/ 100,000 population",8.9,11.5,,,,,No,"Please note that crude age group rates are being compared to the overall age-adjusted value."
"Age-Adjusted ER Rate due to Heat-Related Illness","
This indicator shows the rate of emergency visits per 100,000 population due to explicit clinical effects on the body caused by hot weather and excessive heat exposure.
",County,Miami-Dade,11.3,"ER Visits/ 100,000 population",10.6,12.0,,,,,No,2017-2019,"Florida Agency for Health Care Administration","Rates were calculated using Claritas population estimates. Rates based on fewer than 12 emergency room visits or a population of less than 300 are not reported to ensure patient confidentiality.","ER Rate due to Heat-Related Illness by Age",Age,65-84,11.4,"ER Visits/ 100,000 population",9.5,13.3,,,,,No,"Please note that crude age group rates are being compared to the overall age-adjusted value."
"Age-Adjusted ER Rate due to Heat-Related Illness","
This indicator shows the rate of emergency visits per 100,000 population due to explicit clinical effects on the body caused by hot weather and excessive heat exposure.
",County,Miami-Dade,11.3,"ER Visits/ 100,000 population",10.6,12.0,,,,,No,2017-2019,"Florida Agency for Health Care Administration","Rates were calculated using Claritas population estimates. Rates based on fewer than 12 emergency room visits or a population of less than 300 are not reported to ensure patient confidentiality.","ER Rate due to Heat-Related Illness by Age",Age,85+,11.4,"ER Visits/ 100,000 population",6.7,16.1,,,,,No,"Please note that crude age group rates are being compared to the overall age-adjusted value."
"Age-Adjusted ER Rate due to Heat-Related Illness","
This indicator shows the rate of emergency visits per 100,000 population due to explicit clinical effects on the body caused by hot weather and excessive heat exposure.
",County,Miami-Dade,10.9,"ER Visits/ 100,000 population",10.2,11.6,,,,,No,2016-2018,"Florida Agency for Health Care Administration","Rates were calculated using Claritas population estimates. Rates based on fewer than 12 emergency room visits or a population of less than 300 are not reported to ensure patient confidentiality.","Age-Adjusted ER Rate due to Heat-Related Illness",Gender,Female,6.7,"ER Visits/ 100,000 population",5.9,7.5,,,,,No,
"Age-Adjusted ER Rate due to Heat-Related Illness","
This indicator shows the rate of emergency visits per 100,000 population due to explicit clinical effects on the body caused by hot weather and excessive heat exposure.
",County,Miami-Dade,10.9,"ER Visits/ 100,000 population",10.2,11.6,,,,,No,2016-2018,"Florida Agency for Health Care Administration","Rates were calculated using Claritas population estimates. Rates based on fewer than 12 emergency room visits or a population of less than 300 are not reported to ensure patient confidentiality.","Age-Adjusted ER Rate due to Heat-Related Illness",Gender,Male,15.2,"ER Visits/ 100,000 population",14.0,16.4,,,,,No,
"Age-Adjusted ER Rate due to Heat-Related Illness","
This indicator shows the rate of emergency visits per 100,000 population due to explicit clinical effects on the body caused by hot weather and excessive heat exposure.
",County,Miami-Dade,10.9,"ER Visits/ 100,000 population",10.2,11.6,,,,,No,2016-2018,"Florida Agency for Health Care Administration","Rates were calculated using Claritas population estimates. Rates based on fewer than 12 emergency room visits or a population of less than 300 are not reported to ensure patient confidentiality.","Age-Adjusted ER Rate due to Heat-Related Illness",Race/Ethnicity,"Black/African American",16.2,"ER Visits/ 100,000 population",14.1,18.3,,,,,No,
"Age-Adjusted ER Rate due to Heat-Related Illness","
This indicator shows the rate of emergency visits per 100,000 population due to explicit clinical effects on the body caused by hot weather and excessive heat exposure.
",County,Miami-Dade,10.9,"ER Visits/ 100,000 population",10.2,11.6,,,,,No,2016-2018,"Florida Agency for Health Care Administration","Rates were calculated using Claritas population estimates. Rates based on fewer than 12 emergency room visits or a population of less than 300 are not reported to ensure patient confidentiality.","Age-Adjusted ER Rate due to Heat-Related Illness",Race/Ethnicity,Hispanic,8.9,"ER Visits/ 100,000 population",8.1,9.7,,,,,No,
"Age-Adjusted ER Rate due to Heat-Related Illness","
This indicator shows the rate of emergency visits per 100,000 population due to explicit clinical effects on the body caused by hot weather and excessive heat exposure.
",County,Miami-Dade,10.9,"ER Visits/ 100,000 population",10.2,11.6,,,,,No,2016-2018,"Florida Agency for Health Care Administration","Rates were calculated using Claritas population estimates. Rates based on fewer than 12 emergency room visits or a population of less than 300 are not reported to ensure patient confidentiality.","Age-Adjusted ER Rate due to Heat-Related Illness",Race/Ethnicity,White,9.9,"ER Visits/ 100,000 population",9.1,10.7,,,,,No,
"Age-Adjusted ER Rate due to Heat-Related Illness","
This indicator shows the rate of emergency visits per 100,000 population due to explicit clinical effects on the body caused by hot weather and excessive heat exposure.
",County,Miami-Dade,10.9,"ER Visits/ 100,000 population",10.2,11.6,,,,,No,2016-2018,"Florida Agency for Health Care Administration","Rates were calculated using Claritas population estimates. Rates based on fewer than 12 emergency room visits or a population of less than 300 are not reported to ensure patient confidentiality.","ER Rate due to Heat-Related Illness by Age",Age,0-9,4.9,"ER Visits/ 100,000 population",3.5,6.3,,,,,No,"Please note that crude age group rates are being compared to the overall age-adjusted value."
"Age-Adjusted ER Rate due to Heat-Related Illness","
This indicator shows the rate of emergency visits per 100,000 population due to explicit clinical effects on the body caused by hot weather and excessive heat exposure.
",County,Miami-Dade,10.9,"ER Visits/ 100,000 population",10.2,11.6,,,,,No,2016-2018,"Florida Agency for Health Care Administration","Rates were calculated using Claritas population estimates. Rates based on fewer than 12 emergency room visits or a population of less than 300 are not reported to ensure patient confidentiality.","ER Rate due to Heat-Related Illness by Age",Age,10-17,14.8,"ER Visits/ 100,000 population",12.1,17.5,,,,,No,"Please note that crude age group rates are being compared to the overall age-adjusted value."
"Age-Adjusted ER Rate due to Heat-Related Illness","
This indicator shows the rate of emergency visits per 100,000 population due to explicit clinical effects on the body caused by hot weather and excessive heat exposure.
",County,Miami-Dade,10.9,"ER Visits/ 100,000 population",10.2,11.6,,,,,No,2016-2018,"Florida Agency for Health Care Administration","Rates were calculated using Claritas population estimates. Rates based on fewer than 12 emergency room visits or a population of less than 300 are not reported to ensure patient confidentiality.","ER Rate due to Heat-Related Illness by Age",Age,18-24,13.7,"ER Visits/ 100,000 population",11.0,16.4,,,,,No,"Please note that crude age group rates are being compared to the overall age-adjusted value."
"Age-Adjusted ER Rate due to Heat-Related Illness","
This indicator shows the rate of emergency visits per 100,000 population due to explicit clinical effects on the body caused by hot weather and excessive heat exposure.
",County,Miami-Dade,10.9,"ER Visits/ 100,000 population",10.2,11.6,,,,,No,2016-2018,"Florida Agency for Health Care Administration","Rates were calculated using Claritas population estimates. Rates based on fewer than 12 emergency room visits or a population of less than 300 are not reported to ensure patient confidentiality.","ER Rate due to Heat-Related Illness by Age",Age,25-34,14.2,"ER Visits/ 100,000 population",12.0,16.4,,,,,No,"Please note that crude age group rates are being compared to the overall age-adjusted value."
"Age-Adjusted ER Rate due to Heat-Related Illness","
This indicator shows the rate of emergency visits per 100,000 population due to explicit clinical effects on the body caused by hot weather and excessive heat exposure.
",County,Miami-Dade,10.9,"ER Visits/ 100,000 population",10.2,11.6,,,,,No,2016-2018,"Florida Agency for Health Care Administration","Rates were calculated using Claritas population estimates. Rates based on fewer than 12 emergency room visits or a population of less than 300 are not reported to ensure patient confidentiality.","ER Rate due to Heat-Related Illness by Age",Age,35-44,10.6,"ER Visits/ 100,000 population",8.7,12.5,,,,,No,"Please note that crude age group rates are being compared to the overall age-adjusted value."
"Age-Adjusted ER Rate due to Heat-Related Illness","
This indicator shows the rate of emergency visits per 100,000 population due to explicit clinical effects on the body caused by hot weather and excessive heat exposure.
",County,Miami-Dade,10.9,"ER Visits/ 100,000 population",10.2,11.6,,,,,No,2016-2018,"Florida Agency for Health Care Administration","Rates were calculated using Claritas population estimates. Rates based on fewer than 12 emergency room visits or a population of less than 300 are not reported to ensure patient confidentiality.","ER Rate due to Heat-Related Illness by Age",Age,45-64,9.8,"ER Visits/ 100,000 population",8.5,11.1,,,,,No,"Please note that crude age group rates are being compared to the overall age-adjusted value."
"Age-Adjusted ER Rate due to Heat-Related Illness","
This indicator shows the rate of emergency visits per 100,000 population due to explicit clinical effects on the body caused by hot weather and excessive heat exposure.
",County,Miami-Dade,10.9,"ER Visits/ 100,000 population",10.2,11.6,,,,,No,2016-2018,"Florida Agency for Health Care Administration","Rates were calculated using Claritas population estimates. Rates based on fewer than 12 emergency room visits or a population of less than 300 are not reported to ensure patient confidentiality.","ER Rate due to Heat-Related Illness by Age",Age,65-84,10.1,"ER Visits/ 100,000 population",8.2,12.0,,,,,No,"Please note that crude age group rates are being compared to the overall age-adjusted value."
"Age-Adjusted ER Rate due to Heat-Related Illness","
This indicator shows the rate of emergency visits per 100,000 population due to explicit clinical effects on the body caused by hot weather and excessive heat exposure.
",County,Miami-Dade,10.9,"ER Visits/ 100,000 population",10.2,11.6,,,,,No,2016-2018,"Florida Agency for Health Care Administration","Rates were calculated using Claritas population estimates. Rates based on fewer than 12 emergency room visits or a population of less than 300 are not reported to ensure patient confidentiality.","ER Rate due to Heat-Related Illness by Age",Age,85+,10.8,"ER Visits/ 100,000 population",6.1,15.5,,,,,No,"Please note that crude age group rates are being compared to the overall age-adjusted value."
